date,코스피/코스닥,주택가격지수,건설공사비지수,국제상품가격-WTI원유,생산자물가지수-포틀랜드시멘트,국제상품가격-알루미늄,건축마감
2011-09-01,83.51,86.94,105.95,148.39,90.55,129.35,77.85
2011-10-01,90.09,87.29,105.85,149.71,90.55,122.99,77.99
2011-11-01,87.19,87.63,105.22,168.24,90.55,117.31,77.53
2011-12-01,86.16,87.78,105.35,170.77,90.55,114.17,77.6
2012-01-01,92.3,87.91,105.37,173.42,94.21,121.33,77.71
2012-02-01,95.81,88.06,105.88,177.23,98.1,124.52,78.01
2012-03-01,95.05,88.2,106.43,183.97,100.46,123.18,78.24
2012-04-01,93.53,88.29,106.81,179.02,100.46,115.53,78.3
2012-05-01,87,88.34,106.44,163.77,100.46,112.94,80.01
2012-06-01,87.49,88.3,106.07,142.76,100.46,106.34,80.2
2012-07-01,88.81,88.2,105.38,152.32,100.46,105.82,80.36
2012-08-01,89.91,88.11,104.72,163.06,100.46,103.96,80.38
2012-09-01,94.2,87.98,104.68,164.07,100.46,116.41,80.39
2012-10-01,90.23,87.88,104.14,155.23,100.46,111.35,80.5
2012-11-01,91.22,87.81,103.76,150.24,100.46,109.91,80.52
2012-12-01,94.24,87.75,103.02,152.91,100.46,117.69,80.55
2013-01-01,92.59,87.7,103.26,164.12,100.46,114.92,80.69
2013-02-01,95.63,87.65,103.73,165.12,109.17,115.82,80.98
2013-03-01,94.61,87.62,103.47,161.47,109.17,107.79,81.29
2013-04-01,92.68,87.62,103.19,159.51,100.46,104.96,81.52
2013-05-01,94.43,87.6,102.13,164.19,100.46,103.35,81.77
2013-06-01,87.93,87.57,101.98,165.92,100.46,102.34,82.04
2013-07-01,90.33,87.57,101.47,180.93,100.46,99.8,82.19
2013-08-01,90.91,87.53,101.53,184.41,100.46,102.43,82.25
2013-09-01,94.24,87.58,101.27,184.34,100.46,99.34,82.34
2013-10-01,95.8,87.75,100.94,174.22,100.46,102.34,82.31
2013-11-01,96.5,87.91,100.39,162.6,100.46,98.58,82.24
2013-12-01,94.92,88.08,100.61,169.59,100.46,98.12,82.37
2014-01-01,91.61,88.18,100.37,164.52,100.46,97.42,82.42
2014-02-01,93.44,88.32,100.41,174.48,100.46,95.61,82.65
2014-03-01,93.7,88.57,101.06,174.24,102.18,96.18,82.93
2014-04-01,92.58,88.75,100.68,177.03,106.9,102.12,83.03
2014-05-01,94.15,88.81,99.88,176.72,106.9,98.76,83.23
2014-06-01,94.49,88.87,99.23,182.31,106.9,103.71,83.35
2014-07-01,97.98,88.96,99.4,178.36,102.82,109.88,83.61
2014-08-01,97.62,89.07,99.41,166.87,102.82,114.52,83.73
2014-09-01,95.33,89.32,99.35,161.59,102.82,112.26,83.88
2014-10-01,92.71,89.58,99.18,146.24,102.82,109.76,83.58
2014-11-01,93.48,89.77,99.23,131.17,102.82,115.93,83.69
2014-12-01,90.4,89.93,98.95,102.46,102.82,107.69,83.84
2015-01-01,91.99,90.05,98.12,82.4,102.82,102.35,83.72
2015-02-01,93.71,90.25,97.38,88.12,102.82,102.52,83.79
2015-03-01,96.32,90.63,97.3,82.78,102.82,100.04,83.91
2015-04-01,100.39,91.08,96.16,94.21,102.82,102.6,83.69
2015-05-01,99.8,91.41,95.95,102.89,102.82,101.75,83.88
2015-06-01,97.89,91.83,95.96,103.66,102.82,95.19,84.05
2015-07-01,95.81,92.22,95.84,88.7,102.82,92.47,83.97
2015-08-01,91.62,92.58,95.76,74.34,102.82,87.31,84.17
2015-09-01,92.63,93.02,95.26,78.85,102.82,89.65,84.33
2015-10-01,95.77,93.33,94.43,80.16,102.82,85.53,84.66
2015-11-01,94,93.73,93.9,73.79,102.82,82.79,84.77
2015-12-01,92.56,93.9,93.17,64.8,102.56,84.44,84.9
2016-01-01,90.23,93.98,91.99,55.06,102.56,83.53,84.91
2016-02-01,90.45,94.05,91.77,52.63,102.56,86.36,85.23
2016-03-01,94.19,94.08,92.05,65.66,102.56,86.35,85.6
2016-04-01,94.11,94.12,93.14,71.08,102.56,88.62,85.93
2016-05-01,93.6,94.19,93.7,81.15,102.56,87.45,86.77
2016-06-01,92.98,94.26,94.39,84.53,102.56,89.87,86.7
2016-07-01,95.15,94.39,94.45,77.79,102.56,91.88,86.91
2016-08-01,96.02,94.51,93.84,77.53,101.21,92.45,86.86
2016-09-01,96.44,94.64,93.68,78.31,100.78,89.81,86.96
2016-10-01,94.77,94.87,94.09,86.3,100.78,93.95,87.06
2016-11-01,93.6,95.11,95.06,78.78,100.78,97.97,87.25
2016-12-01,95.63,95.17,96.08,90.18,100.78,97.44,87.59
2017-01-01,97.57,95.2,97.86,91.06,100.78,101.02,88.13
2017-02-01,98.71,95.21,98.08,92.6,100.35,104.94,88.39
2017-03-01,101.95,95.23,98.16,85.52,100.35,107.24,88.66
2017-04-01,104.08,95.27,97.7,88.65,100.35,108.35,88.97
2017-05-01,110.78,95.32,97.41,84.13,100.35,107.89,89.25
2017-06-01,112.87,95.48,97.5,78.29,99.79,106.33,89.53
2017-07-01,113.39,95.71,97.65,80.7,99.81,107.32,89.29
2017-08-01,111.52,95.93,98.15,83.25,99.81,114.49,89.69
2017-09-01,113,96.02,99.28,86.17,99.81,118.24,90.17
2017-10-01,119.09,96.13,100.23,89.35,99.81,120.21,90.67
2017-11-01,116.86,96.25,100,98.3,99.81,118.29,90.91
2017-12-01,116.45,96.35,99.99,100.35,98.89,117.34,91.47
2018-01-01,121.12,96.54,100.16,110.15,98.44,124.63,91.74
2018-02-01,114.55,96.74,100.25,107.81,98.04,123.05,92.24
2018-03-01,115.42,96.99,100.28,108.85,97.73,116.7,93.01
2018-04-01,118.71,97.15,100.49,114.88,97.73,127.16,93.26
2018-05-01,114.35,97.25,100.72,121.1,97.73,129.7,93.66
2018-06-01,109.77,97.34,101.51,117.6,98.87,126.2,94.24
2018-07-01,108.32,97.45,101.62,123.13,100.71,117.44,94.8
2018-08-01,109.62,97.66,101.72,117.69,100.71,115.7,95.2
2018-09-01,110.57,98.62,101.63,121.6,100.71,114.29,95.5
2018-10-01,95.78,99.18,102.12,122.57,100.71,114.48,95.76
2018-11-01,98.95,99.33,101.95,97.35,100.71,109.33,96.02
2018-12-01,96.32,99.4,101.73,84.75,100.71,108.31,96.3
2019-01-01,104.05,99.43,101.29,88.76,100.71,104.55,96.79
2019-02-01,103.61,99.35,101.21,95.29,100.4,105.07,97.62
2019-03-01,101.02,99.25,101.53,100.78,100.24,105.53,97.89
2019-04-01,103.99,99.12,101.6,110.65,100.17,104.08,98.16
2019-05-01,96.35,99.05,101.78,105.23,100.17,100.46,98.46
2019-06-01,100.55,98.97,101.44,94.72,100.17,99.03,98.68
2019-07-01,95.54,98.95,101.28,99.41,100.17,101.35,98.92
2019-08-01,92.86,99.02,101.5,94.99,100.17,98.17,99.22
2019-09-01,97.36,99.07,100.98,98.51,100.17,98.9,99.41
2019-10-01,98.32,99.15,100.54,93.49,100.08,97.34,99.51
2019-11-01,98.53,99.3,100.03,98.2,100.08,100.1,99.68
2019-12-01,103.71,99.64,100.19,103.72,100,99.9,99.98
2020-01-01,100,100,100,100,100,100,100.25
2020-02-01,93.77,100.36,100.18,87.68,99.62,95.21,100.63
2020-03-01,82.8,100.92,99.85,50.8,99.44,90.85,100.78
2020-04-01,91.91,101.16,99.33,29.42,99.16,82.34,100.73
2020-05-01,95.78,101.29,99.38,49.86,99.16,82.7,100.95
2020-06-01,99.5,101.79,99.36,66.37,99.92,88.47,101.19
2020-07-01,106.15,102.69,99.42,70.55,99.92,92.71,101.43
2020-08-01,109.78,103.49,99.47,73.41,99.92,98.05,101.57
2020-09-01,109.86,104.31,99.51,68.61,99.92,98.35,101.66
2020-10-01,106.99,105,99.44,68.28,99.92,101.86,101.83
2020-11-01,122.29,106.51,100.07,71.71,99.92,109.15,102.17
2020-12-01,135.6,107.97,101.95,81.55,106.35,113.62,102.67
2021-01-01,140.45,109.25,104.02,89.83,106.35,113.02,104.55
2021-02-01,142.19,110.73,105.69,102.62,106.35,117.23,104.98
2021-03-01,144.47,112.2,108.33,107.73,106.35,123.54,105.65
2021-04-01,148.55,113.38,112.82,106.41,110,130.81,106.92
2021-05-01,151.2,114.46,116.8,112.89,110,137.32,107.26
2021-06-01,155.58,115.97,119.15,123.67,111.31,137.99,108.05
2021-07-01,151.12,117.33,121.67,125.76,112.69,140.86,109.32
2021-08-01,150.98,119.08,124.55,117.58,113.04,146.81,111.47
2021-09-01,144.82,120.89,125.68,123.94,113.04,159.87,112.46
2021-10-01,140.19,122.16,128.32,140.96,113.04,165.5,113.5
2021-11-01,133.98,123.5,129.06,137.04,113.04,148.69,114.46
2021-12-01,140.52,124.12,129.64,124.39,113.04,152.02,115.03
2022-01-01,125.69,124.47,130.44,144.28,113.04,169.53,116.71
2022-02-01,127.38,124.73,131,158.71,120.38,183.06,117.18
2022-03-01,130.14,124.86,133.54,187.8,131.22,197.3,117.72
2022-04-01,127.18,125.12,137.6,176.7,129.97,183.13,119.24
2022-05-01,126.75,125.43,139.8,190.07,129.97,160.14,119.83
2022-06-01,110.08,125.55,139.83,198.68,129.97,145.26,120.08
2022-07-01,115.69,125.55,139.7,176.58,130.22,135.83,122.19
2022-08-01,116.66,125.38,138.37,162.32,130.22,137.27,122.33
2022-09-01,101.72,125.18,138.23,146.22,134.36,125.47,122.71
2022-10-01,108.24,124.48,138.52,151.23,134.36,127.21,122.97
2022-11-01,116.68,123.11,138.39,145.67,145.3,132.58,123.35
2022-12-01,105.54,121.84,137.66,132.67,146.53,135.26,123.47
